1st Term GPA,2nd Term GPA,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
0.0,0.0,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,59.0,16.0,Level-160,1.0
2.5,2.0,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,1.0
4.25,3.923077,English,Apprentice_PS,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,92.0,41.0,Level-170,1.0
3.020833,2.321429,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
4.275,4.326923,English,GPOG_FT,6.0,Yes,Yes,Domestic,Female,PostSecondary,21 to 25,97.0,,Level-170,1.0
4.357143,4.326087,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,21 to 25,101.0,45.0,Level-170,1.0
2.210526,1.375,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,68.0,20.0,Level-160,0.0
2.045455,2.961538,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,79.0,34.0,Level-170,1.0
4.285714,3.608696,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,19 to 20,98.0,39.0,Level-170,1.0
2.863636,1.3,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,78.0,29.0,Level-160,1.0
2.75,2.75,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,41.0,Level-161,1.0
2.125,2.136364,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,73.0,18.0,Level-160,1.0
1.46,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,81.0,17.0,Level-170,1.0
4.421053,4.315789,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,26 to 30,95.0,38.0,Level-160,1.0
3.791667,3.979167,,Intl Regular,6.0,No,No,International,Male,HighSchool,26 to 30,,47.0,Level-161,1.0
3.717391,3.895833,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
4.233333,4.277778,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,51 to 60,,,Level-170,1.0
3.413043,3.346154,Other,Second Career Program,6.0,Yes,No,Domestic,Male,PostSecondary,51 to 60,,,Level-160,1.0
3.375,3.696429,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-141,1.0
3.785714,3.431818,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,48.0,Level-171,1.0
3.58,3.346154,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.086957,2.65625,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,80.0,28.0,Level-170,0.0
4.5,4.421053,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,,32.0,Level-170,1.0
3.6,3.190476,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-170,1.0
3.425,3.175,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.770833,3.5,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,48.0,Level-170,1.0
2.071429,3.166667,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,36 to 40,,41.0,Level-161,1.0
2.55,3.022727,Other,GPOG_FT,6.0,Yes,No,Domestic,Male,PostSecondary,51 to 60,,,Level-161,1.0
3.782609,3.269231,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,19 to 20,,,Level-161,1.0
3.979167,4.037037,Other,Intl Regular,6.0,Yes,Yes,International,Female,PostSecondary,21 to 25,,,Level-160,1.0
2.645833,3.020833,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,39.0,Level-161,1.0
4.5,4.5,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,97.0,43.0,Level-170,1.0
3.065217,3.210526,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,0,26 to 30,,26.0,Level-170,1.0
2.125,1.409091,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,81.0,31.0,Level-170,0.0
1.6,2.566667,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,68.0,21.0,Level-160,1.0
4.225,4.428571,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,0 to 18,,46.0,Level-170,1.0
3.595238,3.0,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,48.0,Level-161,1.0
3.82,3.611111,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,85.0,20.0,Level-170,1.0
3.928571,4.190476,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,26 to 30,,40.0,Level-170,1.0
2.565217,2.153846,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,83.0,25.0,Level-170,1.0
2.52381,1.823529,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,60.0,16.0,Level-141,1.0
4.309524,4.095238,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,19 to 20,95.0,48.0,Level-170,1.0
3.865385,3.844828,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,47.0,Level-141,1.0
2.05,2.555556,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,0 to 18,76.0,23.0,Level-171,1.0
3.47619,2.975,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,87.0,32.0,Level-170,1.0
3.304348,3.326923,Other,Intl Regular,6.0,Yes,Yes,International,Female,HighSchool,21 to 25,,,Level-161,1.0
1.105263,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,19 to 20,82.0,22.0,Level-160,0.0
2.23913,2.361111,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,32.0,Level-161,1.0
3.54,2.521739,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,81.0,34.0,Level-160,1.0
3.526316,2.477273,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,78.0,19.0,Level-160,1.0
1.78,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,87.0,28.0,Level-170,0.0
4.38,4.425,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,26 to 30,74.0,26.0,Level-170,1.0
3.027778,2.235294,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,29.0,Level-170,1.0
2.309524,3.043478,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
